relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
CTD::InPathway::Gene:Pathway	Gene is in a pathway	BioMedGPS::InPathway::Gene:Pathway	"A gene that is involved in a specific biological pathway, playing a role in the sequence of events that lead to a biological outcome."	"Is the #Gene# involved in the #BiologicalPathway#, playing a role in the sequence of events leading to a biological outcome?"	CTD	InPathway	Gene	Pathway	
PrimeKG::associated_with::Gene:Symptom	Gene is associated with a symptom	BioMedGPS::AssociatedWith::Gene:Symptom	"A gene that is associated with a specific symptom, potentially indicating a link between the gene's activity and the manifestation of the symptom."	"Is the #Gene# associated with #Symptom#, potentially indicating a link between the gene's activity and the manifestation of the symptom?"	PrimeKG	associated_with	Gene	Symptom	
GNBR::in_tax::Gene:Tax	Identifies the taxon (species) associated with the gene	BioMedGPS::InTax::Gene:Tax	"A gene that is associated with a specific taxonomic group, indicating its presence or significance within that group."	"Is the #Gene# associated with the #Tax#, indicating its presence or significance within that group?"	GNBR	in_tax	Gene	Tax	
PrimeKG::interacts_with::MolecularFunction:Gene	Molecular function interacts with a gene	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	PrimeKG	interacts_with	MolecularFunction	Gene	
PrimeKG::parent-child::MolecularFunction:MolecularFunction	Parent-child relationship between molecular functions	BioMedGPS::ParentChild::MolecularFunction:MolecularFunction	"A hierarchical relationship between two molecular functions, where one is broader and the other more specific."	"Is there a hierarchical relationship between #MolecularFunction1# and #MolecularFunction2#, where #MolecularFunction1# is broader and #MolecularFunction2# is more specific?"	PrimeKG	parent-child	MolecularFunction	MolecularFunction	
PrimeKG::interacts_with::Pathway:Gene	Pathway interacts with a gene	BioMedGPS::Interaction::Gene:Pathway	"An interaction between a gene and a biological pathway, suggesting that the gene may influence or be part of that pathway."	"Is there an interaction between #Gene# and the #BiologicalPathway#, suggesting that the gene may influence or be part of that pathway?"	PrimeKG	interacts_with	Pathway	Gene	
PrimeKG::parent-child::Pathway:Pathway	Parent-child relationship between pathways	BioMedGPS::ParentChild::Pathway:Pathway	"A hierarchical relationship between two biological pathways, where one is considered a parent pathway and the other a child pathway."	"Is there a hierarchical relationship between #Pathway1# and #Pathway2#, where #Pathway1# is broader and #Pathway2# is more specific?"	PrimeKG	parent-child	Pathway	Pathway	
Hetionet::PCiC::PharmacologicClass:Compound	Pharmacologic class includes the compound	BioMedGPS::InPC::Compound:PharmacologicClass	A compound classified within a specific pharmacologic class.	How is the #Compound# classified within the #PharmacologicClass# pharmacologic class?	Hetionet	PCiC	PharmacologicClass	Compound	Pharmacologic Class–includes–Compound
PrimeKG::side_effect::Symptom:Compound	Symptom caused by a compound	BioMedGPS::SideEffect::Compound:Symptom	A compound that causes a specific side effect related to a symptom.	Does the #Compound# cause a specific side effect related to #Symptom#?	PrimeKG	side_effect	Symptom	Compound	
PrimeKG::phenotype_absent::Symptom:Disease	Symptom lacks a specific phenotype	BioMedGPS::Absent::Disease:Symptom	The disease does not present a specific symptom	Is the #Symptom# not present in #Disease#?	PrimeKG	phenotype_absent	Symptom	Disease	
PrimeKG::phenotype_present::Symptom:Disease	Symptom has a specific phenotype	BioMedGPS::Present::Disease:Symptom	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	PrimeKG	phenotype_present	Symptom	Disease	
PrimeKG::associated_with::Symptom:Gene	Symptom is associated with a gene	BioMedGPS::AssociatedWith::Gene:Symptom	"A gene that is associated with a specific symptom, potentially indicating a link between the gene's activity and the manifestation of the symptom."	"Is the #Gene# associated with #Symptom#, potentially indicating a link between the gene's activity and the manifestation of the symptom?"	PrimeKG	associated_with	Symptom	Gene	
PrimeKG::parent-child::Symptom:Symptom	Parent-child relationship between symptoms	BioMedGPS::ParentChild::Symptom:Symptom	"A hierarchical relationship between two symptoms, where one is broader or more general and the other more specific."	"Is there a hierarchical relationship between #Symptom1# and #Symptom2#, where #Symptom1# is broader or more general and #Symptom2# is more specific?"	PrimeKG	parent-child	Symptom	Symptom	
CTD::affects^acetylation::Compound:Gene	Compound affects gene acetylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^acetylation	Compound	Gene	
CTD::increases^alkylation::Compound:Gene	Compound increases gene alkylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^alkylation	Compound	Gene	
CTD::decreases^metabolic processing::Compound:Gene	Compound decreases gene metabolic processing	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^metabolic processing	Compound	Gene	
CTD::affects^metabolic processing::Compound:Gene	Compound affects gene metabolic processing	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^metabolic processing	Compound	Gene	
CTD::decreases^acetylation::Compound:Gene	Compound decreases gene acetylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^acetylation	Compound	Gene	
CTD::decreases^amination::Compound:Gene	Compound decreases gene amination	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^amination	Compound	Gene	
CTD::decreases^localization::Compound:Gene	Compound decreases gene localization	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^localization	Compound	Gene	
CTD::increases^glucuronidation::Compound:Gene	Compound increases gene glucuronidation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^glucuronidation	Compound	Gene	
CTD::increases^sulfation::Compound:Gene	Compound increases gene sulfation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^sulfation	Compound	Gene	
CTD::affects^hydrolysis::Compound:Gene	Compound affects gene hydrolysis	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^hydrolysis	Compound	Gene	
CTD::increases^hydroxylation::Compound:Gene	Compound increases gene hydroxylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^hydroxylation	Compound	Gene	
CTD::affects^transport::Compound:Gene	Compound affects gene transport	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^transport	Compound	Gene	
CTD::increases^O-linked glycosylation::Compound:Gene	Compound increases gene O-linked glycosylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^O-linked glycosylation	Compound	Gene	
CTD::increases^palmitoylation::Compound:Gene	Compound increases gene palmitoylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^palmitoylation	Compound	Gene	
CTD::increases^ADP-ribosylation::Compound:Gene	Compound increases gene ADP-ribosylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^ADP-ribosylation	Compound	Gene	
CTD::increases^glutathionylation::Compound:Gene	Compound increases gene glutathionylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^glutathionylation	Compound	Gene	
CTD::increases^glycosylation::Compound:Gene	Compound increases gene glycosylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^glycosylation	Compound	Gene	
CTD::decreases^degradation::Compound:Gene	Compound decreases gene degradation	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	decreases^degradation	Compound	Gene	
CTD::decreases^cleavage::Compound:Gene	Compound decreases gene cleavage	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^cleavage	Compound	Gene	
CTD::affects^cleavage::Compound:Gene	Compound affects gene cleavage	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^cleavage	Compound	Gene	
CTD::increases^export::Compound:Gene	Compound increases gene export	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^export	Compound	Gene	
CTD::decreases^export::Compound:Gene	Compound decreases gene export	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^export	Compound	Gene	
CTD::affects^export::Compound:Gene	Compound affects gene export	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^export	Compound	Gene	
CTD::decreases^sumoylation::Compound:Gene	Compound decreases gene sumoylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^sumoylation	Compound	Gene	
CTD::decreases^ADP-ribosylation::Compound:Gene	Compound decreases gene ADP-ribosylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^ADP-ribosylation	Compound	Gene	
CTD::decreases^uptake::Compound:Gene	Compound decreases gene uptake	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^uptake	Compound	Gene	
CTD::decreases^stability::Compound:Gene	Compound decreases gene stability	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^stability	Compound	Gene	
CTD::increases^import::Compound:Gene	Compound increases gene import	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	increases^import	Compound	Gene	
CTD::increases^nitrosation::Compound:Gene	Compound increases gene nitrosation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^nitrosation	Compound	Gene	
CTD::affects^folding::Compound:Gene	Compound affects gene folding	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^folding	Compound	Gene	
CTD::affects^uptake::Compound:Gene	Compound affects gene uptake	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^uptake	Compound	Gene	
CTD::decreases^palmitoylation::Compound:Gene	Compound decreases gene palmitoylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^palmitoylation	Compound	Gene	
CTD::increases^hydrolysis::Compound:Gene	Compound increases gene hydrolysis	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^hydrolysis	Compound	Gene	
CTD::decreases^chemical synthesis::Compound:Gene	Compound decreases gene chemical synthesis	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^chemical synthesis	Compound	Gene	
CTD::decreases^ubiquitination::Compound:Gene	Compound decreases gene ubiquitination	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^ubiquitination	Compound	Gene	
CTD::affects^sumoylation::Compound:Gene	Compound affects gene sumoylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^sumoylation	Compound	Gene	
CTD::affects^reduction::Compound:Gene	Compound affects gene reduction	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^reduction	Compound	Gene	
CTD::affects^acylation::Compound:Gene	Compound affects gene acylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^acylation	Compound	Gene	
CTD::affects^lipidation::Compound:Gene	Compound affects gene lipidation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^lipidation	Compound	Gene	
CTD::increases^prenylation::Compound:Gene	Compound increases gene prenylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^prenylation	Compound	Gene	
CTD::affects^import::Compound:Gene	Compound affects gene import	BioMedGPS::E::Compound:Gene	A compound that has a general effect on the expression of a specific gene.	Does the #Compound# have a general effect on the expression of #Gene#?	CTD	affects^import	Compound	Gene	
CTD::decreases^farnesylation::Compound:Gene	Compound decreases gene farnesylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^farnesylation	Compound	Gene	
CTD::decreases^hydrolysis::Compound:Gene	Compound decreases gene hydrolysis	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^hydrolysis	Compound	Gene	
CTD::affects^glycosylation::Compound:Gene	Compound affects gene glycosylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^glycosylation	Compound	Gene	
CTD::increases^folding::Compound:Gene	Compound increases gene folding	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^folding	Compound	Gene	
CTD::decreases^ethylation::Compound:Gene	Compound decreases gene ethylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^ethylation	Compound	Gene	
CTD::decreases^reduction::Compound:Gene	Compound decreases gene reduction	BioMedGPS::E+::Compound:Gene	A compound that significantly enhances the expression of a specific gene.	Does the #Compound# significantly enhance the expression of #Gene#?	CTD	decreases^reduction	Compound	Gene	
CTD::decreases^O-linked glycosylation::Compound:Gene	Compound decreases gene O-linked glycosylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^O-linked glycosylation	Compound	Gene	
CTD::decreases^folding::Compound:Gene	Compound decreases gene folding	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^folding	Compound	Gene	
CTD::decreases^import::Compound:Gene	Compound decreases gene import	BioMedGPS::E-::Compound:Gene	A compound that reduces the expression of a specific gene.	Does the #Compound# reduce the expression of #Gene#?	CTD	decreases^import	Compound	Gene	
CTD::increases^acylation::Compound:Gene	Compound increases gene acylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^acylation	Compound	Gene	
CTD::affects^degradation::Compound:Gene	Compound affects gene degradation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^degradation	Compound	Gene	
CTD::decreases^oxidation::Compound:Gene	Compound decreases gene oxidation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^oxidation	Compound	Gene	
CTD::affects^N-linked glycosylation::Compound:Gene	Compound affects gene N-linked glycosylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^N-linked glycosylation	Compound	Gene	
CTD::affects^alkylation::Compound:Gene	Compound affects gene alkylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^alkylation	Compound	Gene	
CTD::increases^amination::Compound:Gene	Compound increases gene amination	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^amination	Compound	Gene	
CTD::IS_ASSOCIATED_WITH::Disease:BiologicalProcess	Disease is associated with the biological process	BioMedGPS::AssociatedWith::Pathway:Disease	"A biological pathway that is associated with a specific disease, suggesting a role in the disease's development or progression."	"Is the #Pathway# associated with #Disease#, suggesting a role in the disease's development or progression?"	CTD	IS_ASSOCIATED_WITH	Disease	BiologicalProcess	
CTD::IS_ASSOCIATED_WITH::Disease:MolecularFunction	Disease is associated with the molecular function	BioMedGPS::AssociatedWith::Pathway:Disease	"A biological pathway that is associated with a specific disease, suggesting a role in the disease's development or progression."	"Is the #Pathway# associated with #Disease#, suggesting a role in the disease's development or progression?"	CTD	IS_ASSOCIATED_WITH	Disease	MolecularFunction	
CTD::IS_ASSOCIATED_WITH::Disease:CellularComponent	Disease is associated with the cellular component	BioMedGPS::AssociatedWith::Pathway:Disease	"A biological pathway that is associated with a specific disease, suggesting a role in the disease's development or progression."	"Is the #Pathway# associated with #Disease#, suggesting a role in the disease's development or progression?"	CTD	IS_ASSOCIATED_WITH	Disease	CellularComponent	
CTD::IS_ASSOCIATED_WITH::Gene:Pathway	Gene participates in the regulation of the pathway	BioMedGPS::AssociatedWith::Gene:Pathway	"A gene associated with a specific biological pathway, indicating its role in a particular biochemical activity."	"Is the #Gene# associated with the #Pathway#, indicating its role in a particular biochemical activity?"	CTD	IS_ASSOCIATED_WITH	Gene	Pathway	
CTD::IS_ASSOCIATED_WITH::Compound:Pathway	Compound is associated with the pathway	BioMedGPS::AssociatedWith::Compound:Pathway	"A compound is associated with a specific pathway, suggesting a potential relationship or interaction within a biological pathway."	"Is the #Compound# associated with #Pathway#, suggesting a potential relationship or interaction within a biological pathway?"	CTD	IS_ASSOCIATED_WITH	Compound	Pathway	
CTD::IS_ASSOCIATED_WITH::Disease:Pathway	Disease is associated with the pathway	BioMedGPS::AssociatedWith::Pathway:Disease	"A biological pathway that is associated with a specific disease, suggesting a role in the disease's development or progression."	"Is the #Pathway# associated with #Disease#, suggesting a role in the disease's development or progression?"	CTD	IS_ASSOCIATED_WITH	Disease	Pathway	
CTD::IS_ASSOCIATED_WITH::Compound:Disease	Disease is associated with a compound	BioMedGPS::AssociatedWith::Compound:Disease	"A compound is associated with a specific disease, suggesting a potential relationship or interaction with the disease."	"Is the #Compound# associated with #Disease#, suggesting a potential relationship or interaction with the disease?"	CTD	IS_ASSOCIATED_WITH	Compound	Disease	
CTD::IS_ASSOCIATED_WITH::Gene:Disease	Disease is associated with a gene	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	CTD	IS_ASSOCIATED_WITH	Gene	Disease	
CTD::marker/mechanism|therapeutic::Gene:Disease	Gene is a marker or mechanism in a disease	BioMedGPS::Biomarker::Gene:Disease	"A gene that serves as a biomarker for a specific disease, indicating the presence or progression of the disease."	"Does the #Gene# serve as a biomarker for #Disease#, indicating the presence or progression of the disease?"	CTD	marker/mechanism|therapeutic	Gene	Disease	
CTD::increases^glycation::Compound:Gene	Compound increases gene glycation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^glycation	Compound	Gene	
CTD::decreases^glycation::Compound:Gene	Compound decreases gene glycation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^glycation	Compound	Gene	
CTD::increases^carbamoylation::Compound:Gene	Compound increases gene carbamoylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^carbamoylation	Compound	Gene	
CTD::decreases^mutagenesis::Compound:Gene	Compound decreases gene mutagenesis	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	CTD	decreases^mutagenesis	Compound	Gene	
CTD::increases^N-linked glycosylation::Compound:Gene	Compound increases gene N-linked glycosylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^N-linked glycosylation	Compound	Gene	
CTD::affects^carboxylation::Compound:Gene	Compound affects gene carboxylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^carboxylation	Compound	Gene	
CTD::decreases^splicing::Compound:Gene	Compound decreases gene splicing	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^splicing	Compound	Gene	
CTD::affects^glycation::Compound:Gene	Compound affects gene glycation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^glycation	Compound	Gene	
CTD::affects^sulfation::Compound:Gene	Compound affects gene sulfation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^sulfation	Compound	Gene	
CTD::decreases^myristoylation::Compound:Gene	Compound decreases gene myristoylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^myristoylation	Compound	Gene	
CTD::decreases^prenylation::Compound:Gene	Compound decreases gene prenylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^prenylation	Compound	Gene	
CTD::affects^farnesylation::Compound:Gene	Compound affects gene farnesylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^farnesylation	Compound	Gene	
CTD::decreases^geranoylation::Compound:Gene	Compound decreases gene geranoylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^geranoylation	Compound	Gene	
CTD::decreases^N-linked glycosylation::Compound:Gene	Compound decreases gene N-linked glycosylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^N-linked glycosylation	Compound	Gene	
CTD::decreases^lipidation::Compound:Gene	Compound decreases gene lipidation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^lipidation	Compound	Gene	
CTD::affects^glutathionylation::Compound:Gene	Compound affects gene glutathionylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^glutathionylation	Compound	Gene	
CTD::increases^ribosylation::Compound:Gene	Compound increases gene ribosylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^ribosylation	Compound	Gene	
CTD::decreases^acylation::Compound:Gene	Compound decreases gene acylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^acylation	Compound	Gene	
CTD::decreases^glucuronidation::Compound:Gene	Compound decreases gene glucuronidation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^glucuronidation	Compound	Gene	
CTD::affects^polymerization::Compound:Gene	Compound affects gene polymerization	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^polymerization	Compound	Gene	
CTD::decreases^nitrosation::Compound:Gene	Compound decreases gene nitrosation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^nitrosation	Compound	Gene	
CTD::decreases^carboxylation::Compound:Gene	Compound decreases gene carboxylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^carboxylation	Compound	Gene	
